accuracy,f1_score,recall,precision,k,modelo_ML
0.8227634445088841,0.8195330612952634,0.8227634445088841,0.8174179150459856,39,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,39,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,39,Gaussian NB
0.8402077526041042,0.8266134020468139,0.8402077526041042,0.8329324173506512,4,MLP
0.8013881494188293,0.8013319191757626,0.8013881494188293,0.8012760581780043,4,Decision Tree
0.8227327395237843,0.8196410298211474,0.8227327395237843,0.8175793779600105,4,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,4,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,4,Gaussian NB
0.8432173957464173,0.8352091395209338,0.8432173957464173,0.8351539512512344,40,MLP
0.8015110070872924,0.8013589156800474,0.8015110070872924,0.8012097976978387,40,Decision Tree
0.8227634596001097,0.819551324480527,0.8227634596001097,0.8174454585279844,40,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,40,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,40,Gaussian NB
0.8428489019699633,0.8363100767343671,0.8428489019699633,0.8352329362916695,41,MLP
0.801664569740855,0.8016377249426525,0.801664569740855,0.8016145243792623,41,Decision Tree
0.8234390918885115,0.8200309854842678,0.8234390918885115,0.8178693091973852,41,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,41,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,41,Gaussian NB
0.8419889718604479,0.832769056499367,0.8419889718604479,0.833569916837535,42,MLP
0.8011731749086641,0.8011297051278627,0.8011731749086641,0.8010866478057854,42,Decision Tree
0.8230705867936382,0.8198824112814629,0.8230705867936382,0.8177888459218914,42,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,42,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,42,Gaussian NB
0.8433709414223511,0.8332306256611203,0.8433709414223511,0.8352234701348444,43,MLP
0.8010503228994108,0.8011278122085939,0.8010503228994108,0.8012063955654123,43,Decision Tree
0.8223027791850346,0.819005195975749,0.8223027791850346,0.8168611413080369,43,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,43,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,43,Gaussian NB
0.8426646116944625,0.8335996552552383,0.8426646116944625,0.8344825780351572,44,MLP
0.8012960061674821,0.8013907967912002,0.8012960061674821,0.8014865137130633,44,Decision Tree
0.8224563474978068,0.8192387944893815,0.8224563474978068,0.8171240858717066,44,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,44,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,44,Gaussian NB
0.8425417879812573,0.8353614769571782,0.8425417879812573,0.8347260070458755,45,MLP
0.8013574368881169,0.8013227584020931,0.8013574368881169,0.8012882150951048,45,Decision Tree
0.8237154839144889,0.8206054193449577,0.8237154839144889,0.8185455648160544,45,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,45,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,45,Gaussian NB
0.8405455244178295,0.8326076827129045,0.8405455244178295,0.8330176257315576,46,MLP
0.8018488543571463,0.801839118596074,0.8018488543571463,0.8018363260331478,46,Decision Tree
0.8230398535124903,0.8198909415704636,0.8230398535124903,0.8178103708283919,46,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,46,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,46,Gaussian NB
0.8412211585926346,0.8334946531803875,0.8412211585926346,0.8329963266812459,47,MLP
0.801203898757796,0.8011123545210018,0.801203898757796,0.8010236333373242,47,Decision Tree
0.8222413711012384,0.8189792869302168,0.8222413711012384,0.8168490754855551,47,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,47,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,47,Gaussian NB
0.843770204321614,0.8345995741759598,0.843770204321614,0.835627271843185,48,MLP
0.8019102473497166,0.8018670968729822,0.8019102473497166,0.8018241226321086,48,Decision Tree
0.8235926488828644,0.820300699845462,0.8235926488828644,0.8181774461832665,48,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,48,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,48,Gaussian NB
